study,region,sample,cell_type,cell_type_clean,sample_id
Krishna2021_Kidney,Kidney,UT1_Upper,Epithelial,Epithelial,Krishna2021_Kidney::UT1_Upper
Krishna2021_Kidney,Kidney,UT1_Upper,Mast,Mast,Krishna2021_Kidney::UT1_Upper
Krishna2021_Kidney,Kidney,UT1_Upper,Malignant,Malignant,Krishna2021_Kidney::UT1_Upper
Krishna2021_Kidney,Kidney,UT1_Lower,Macrophage,Macrophage,Krishna2021_Kidney::UT1_Lower
Krishna2021_Kidney,Kidney,UT1_Lower,Dendritic,Dendritic,Krishna2021_Kidney::UT1_Lower
Krishna2021_Kidney,Kidney,UT1_Lower,Endothelial,Endothelial,Krishna2021_Kidney::UT1_Lower
Krishna2021_Kidney,Kidney,UT1_Lower,T_cell,T cell,Krishna2021_Kidney::UT1_Lower
Krishna2021_Kidney,Kidney,UT1_Lower,Myofibroblast,Myofibroblast,Krishna2021_Kidney::UT1_Lower
Krishna2021_Kidney,Kidney,UT1_Lower,Monocyte,Monocyte,Krishna2021_Kidney::UT1_Lower
Krishna2021_Kidney,Kidney,UT1_Lower,NK_cell,NK cell,Krishna2021_Kidney::UT1_Lower
Krishna2021_Kidney,Kidney,UT1_Lower,Malignant,Malignant,Krishna2021_Kidney::UT1_Lower
Krishna2021_Kidney,Kidney,UT1_Lower,B_cell,B cell,Krishna2021_Kidney::UT1_Lower
Krishna2021_Kidney,Kidney,UT1_Lower,Mast,Mast,Krishna2021_Kidney::UT1_Lower
Krishna2021_Kidney,Kidney,UT1_Lower,Epithelial,Epithelial,Krishna2021_Kidney::UT1_Lower
Krishna2021_Kidney,Kidney,UT2_Center,Malignant,Malignant,Krishna2021_Kidney::UT2_Center
Krishna2021_Kidney,Kidney,UT2_Center,T_cell,T cell,Krishna2021_Kidney::UT2_Center
Krishna2021_Kidney,Kidney,UT2_Center,Dendritic,Dendritic,Krishna2021_Kidney::UT2_Center
Krishna2021_Kidney,Kidney,UT2_Center,Epithelial,Epithelial,Krishna2021_Kidney::UT2_Center
Krishna2021_Kidney,Kidney,UT2_Center,Macrophage,Macrophage,Krishna2021_Kidney::UT2_Center
Krishna2021_Kidney,Kidney,UT2_Center,NK_cell,NK cell,Krishna2021_Kidney::UT2_Center
Krishna2021_Kidney,Kidney,UT2_Center,Myofibroblast,Myofibroblast,Krishna2021_Kidney::UT2_Center
Krishna2021_Kidney,Kidney,UT2_Center,B_cell,B cell,Krishna2021_Kidney::UT2_Center
Krishna2021_Kidney,Kidney,UT2_Center,Monocyte,Monocyte,Krishna2021_Kidney::UT2_Center
Krishna2021_Kidney,Kidney,UT2_Center,Mast,Mast,Krishna2021_Kidney::UT2_Center
Krishna2021_Kidney,Kidney,UT2_Center,Endothelial,Endothelial,Krishna2021_Kidney::UT2_Center
Krishna2021_Kidney,Kidney,UT2_Far,Dendritic,Dendritic,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Far,Malignant,Malignant,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Far,Monocyte,Monocyte,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Far,T_cell,T cell,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Far,Macrophage,Macrophage,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Far,NK_cell,NK cell,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Far,Endothelial,Endothelial,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Far,Epithelial,Epithelial,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Far,Myofibroblast,Myofibroblast,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Far,B_cell,B cell,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Far,Mast,Mast,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Far,Myeloid,Myeloid,Krishna2021_Kidney::UT2_Far
Krishna2021_Kidney,Kidney,UT2_Near,T_cell,T cell,Krishna2021_Kidney::UT2_Near
Krishna2021_Kidney,Kidney,UT2_Near,Monocyte,Monocyte,Krishna2021_Kidney::UT2_Near
Krishna2021_Kidney,Kidney,UT2_Near,Myofibroblast,Myofibroblast,Krishna2021_Kidney::UT2_Near
Krishna2021_Kidney,Kidney,UT2_Near,Epithelial,Epithelial,Krishna2021_Kidney::UT2_Near
Krishna2021_Kidney,Kidney,UT2_Near,Mast,Mast,Krishna2021_Kidney::UT2_Near
Krishna2021_Kidney,Kidney,UT2_Near,Malignant,Malignant,Krishna2021_Kidney::UT2_Near
Krishna2021_Kidney,Kidney,UT2_Near,Macrophage,Macrophage,Krishna2021_Kidney::UT2_Near
Krishna2021_Kidney,Kidney,UT2_Near,NK_cell,NK cell,Krishna2021_Kidney::UT2_Near
Krishna2021_Kidney,Kidney,UT2_Near,Dendritic,Dendritic,Krishna2021_Kidney::UT2_Near
Krishna2021_Kidney,Kidney,UT2_Near,Endothelial,Endothelial,Krishna2021_Kidney::UT2_Near
Krishna2021_Kidney,Kidney,UT2_Normal,NK_cell,NK cell,Krishna2021_Kidney::UT2_Normal
Krishna2021_Kidney,Kidney,UT2_Normal,T_cell,T cell,Krishna2021_Kidney::UT2_Normal
Krishna2021_Kidney,Kidney,UT2_Normal,Monocyte,Monocyte,Krishna2021_Kidney::UT2_Normal
Krishna2021_Kidney,Kidney,UT2_Normal,Endothelial,Endothelial,Krishna2021_Kidney::UT2_Normal
Krishna2021_Kidney,Kidney,UT2_Normal,Dendritic,Dendritic,Krishna2021_Kidney::UT2_Normal
Krishna2021_Kidney,Kidney,UT2_Normal,Epithelial,Epithelial,Krishna2021_Kidney::UT2_Normal
Krishna2021_Kidney,Kidney,UT2_Normal,B_cell,B cell,Krishna2021_Kidney::UT2_Normal
Krishna2021_Kidney,Kidney,UT2_Normal,Myeloid,Myeloid,Krishna2021_Kidney::UT2_Normal
Krishna2021_Kidney,Kidney,UT2_Normal,Macrophage,Macrophage,Krishna2021_Kidney::UT2_Normal
Krishna2021_Kidney,Kidney,UT2_Normal,Myofibroblast,Myofibroblast,Krishna2021_Kidney::UT2_Normal
Krishna2021_Kidney,Kidney,UT2_Normal,Malignant,Malignant,Krishna2021_Kidney::UT2_Normal
Krishna2021_Kidney,Kidney,UT1_Normal,NK_cell,NK cell,Krishna2021_Kidney::UT1_Normal
Krishna2021_Kidney,Kidney,UT1_Normal,Monocyte,Monocyte,Krishna2021_Kidney::UT1_Normal
Krishna2021_Kidney,Kidney,UT1_Normal,T_cell,T cell,Krishna2021_Kidney::UT1_Normal
Krishna2021_Kidney,Kidney,UT1_Normal,Dendritic,Dendritic,Krishna2021_Kidney::UT1_Normal
Krishna2021_Kidney,Kidney,UT1_Normal,Endothelial,Endothelial,Krishna2021_Kidney::UT1_Normal
Krishna2021_Kidney,Kidney,UT1_Normal,Epithelial,Epithelial,Krishna2021_Kidney::UT1_Normal
Krishna2021_Kidney,Kidney,UT1_Normal,Malignant,Malignant,Krishna2021_Kidney::UT1_Normal
Krishna2021_Kidney,Kidney,UT1_Normal,Macrophage,Macrophage,Krishna2021_Kidney::UT1_Normal
Krishna2021_Kidney,Kidney,UT1_Normal,Myofibroblast,Myofibroblast,Krishna2021_Kidney::UT1_Normal
Krishna2021_Kidney,Kidney,UT1_Normal,B_cell,B cell,Krishna2021_Kidney::UT1_Normal
Krishna2021_Kidney,Kidney,t1_SupraLateral,T_cell,T cell,Krishna2021_Kidney::t1_SupraLateral
Krishna2021_Kidney,Kidney,t1_SupraLateral,NK_cell,NK cell,Krishna2021_Kidney::t1_SupraLateral
Krishna2021_Kidney,Kidney,t1_SupraLateral,Dendritic,Dendritic,Krishna2021_Kidney::t1_SupraLateral
Krishna2021_Kidney,Kidney,t1_SupraLateral,Mast,Mast,Krishna2021_Kidney::t1_SupraLateral
Krishna2021_Kidney,Kidney,t1_SupraLateral,Macrophage,Macrophage,Krishna2021_Kidney::t1_SupraLateral
Krishna2021_Kidney,Kidney,t1_SupraLateral,Monocyte,Monocyte,Krishna2021_Kidney::t1_SupraLateral
Krishna2021_Kidney,Kidney,t1_SupraLateral,B_cell,B cell,Krishna2021_Kidney::t1_SupraLateral
Krishna2021_Kidney,Kidney,t1_SupraLateral,Endothelial,Endothelial,Krishna2021_Kidney::t1_SupraLateral
Krishna2021_Kidney,Kidney,t1_SupraLateral,Epithelial,Epithelial,Krishna2021_Kidney::t1_SupraLateral
Krishna2021_Kidney,Kidney,t1_SupraLateral,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t1_SupraLateral
Krishna2021_Kidney,Kidney,t1_SupraLateral,Malignant,Malignant,Krishna2021_Kidney::t1_SupraLateral
Krishna2021_Kidney,Kidney,t1_LowerLateral,T_cell,T cell,Krishna2021_Kidney::t1_LowerLateral
Krishna2021_Kidney,Kidney,t1_LowerLateral,Endothelial,Endothelial,Krishna2021_Kidney::t1_LowerLateral
Krishna2021_Kidney,Kidney,t1_LowerLateral,Macrophage,Macrophage,Krishna2021_Kidney::t1_LowerLateral
Krishna2021_Kidney,Kidney,t1_LowerLateral,NK_cell,NK cell,Krishna2021_Kidney::t1_LowerLateral
Krishna2021_Kidney,Kidney,t1_LowerLateral,Monocyte,Monocyte,Krishna2021_Kidney::t1_LowerLateral
Krishna2021_Kidney,Kidney,t1_LowerLateral,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t1_LowerLateral
Krishna2021_Kidney,Kidney,t1_LowerLateral,Dendritic,Dendritic,Krishna2021_Kidney::t1_LowerLateral
Krishna2021_Kidney,Kidney,t1_LowerLateral,Mast,Mast,Krishna2021_Kidney::t1_LowerLateral
Krishna2021_Kidney,Kidney,t1_LowerLateral,Epithelial,Epithelial,Krishna2021_Kidney::t1_LowerLateral
Krishna2021_Kidney,Kidney,t1_LowerLateral,B_cell,B cell,Krishna2021_Kidney::t1_LowerLateral
Krishna2021_Kidney,Kidney,t1_LowerLateral,Malignant,Malignant,Krishna2021_Kidney::t1_LowerLateral
Krishna2021_Kidney,Kidney,t1_LowerMedial,T_cell,T cell,Krishna2021_Kidney::t1_LowerMedial
Krishna2021_Kidney,Kidney,t1_LowerMedial,NK_cell,NK cell,Krishna2021_Kidney::t1_LowerMedial
Krishna2021_Kidney,Kidney,t1_LowerMedial,Macrophage,Macrophage,Krishna2021_Kidney::t1_LowerMedial
Krishna2021_Kidney,Kidney,t1_LowerMedial,Monocyte,Monocyte,Krishna2021_Kidney::t1_LowerMedial
Krishna2021_Kidney,Kidney,t1_LowerMedial,Epithelial,Epithelial,Krishna2021_Kidney::t1_LowerMedial
Krishna2021_Kidney,Kidney,t1_LowerMedial,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t1_LowerMedial
Krishna2021_Kidney,Kidney,t1_LowerMedial,Dendritic,Dendritic,Krishna2021_Kidney::t1_LowerMedial
Krishna2021_Kidney,Kidney,t1_LowerMedial,B_cell,B cell,Krishna2021_Kidney::t1_LowerMedial
Krishna2021_Kidney,Kidney,t1_LowerMedial,Endothelial,Endothelial,Krishna2021_Kidney::t1_LowerMedial
Krishna2021_Kidney,Kidney,t1_LowerMedial,Malignant,Malignant,Krishna2021_Kidney::t1_LowerMedial
Krishna2021_Kidney,Kidney,t1_LowerMedial,Mast,Mast,Krishna2021_Kidney::t1_LowerMedial
Krishna2021_Kidney,Kidney,t1_Normal,Monocyte,Monocyte,Krishna2021_Kidney::t1_Normal
Krishna2021_Kidney,Kidney,t1_Normal,NK_cell,NK cell,Krishna2021_Kidney::t1_Normal
Krishna2021_Kidney,Kidney,t1_Normal,T_cell,T cell,Krishna2021_Kidney::t1_Normal
Krishna2021_Kidney,Kidney,t1_Normal,Epithelial,Epithelial,Krishna2021_Kidney::t1_Normal
Krishna2021_Kidney,Kidney,t1_Normal,Endothelial,Endothelial,Krishna2021_Kidney::t1_Normal
Krishna2021_Kidney,Kidney,t1_Normal,Dendritic,Dendritic,Krishna2021_Kidney::t1_Normal
Krishna2021_Kidney,Kidney,t1_Normal,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t1_Normal
Krishna2021_Kidney,Kidney,t1_Normal,B_cell,B cell,Krishna2021_Kidney::t1_Normal
Krishna2021_Kidney,Kidney,t1_Normal,Macrophage,Macrophage,Krishna2021_Kidney::t1_Normal
Krishna2021_Kidney,Kidney,t1_Normal,Malignant,Malignant,Krishna2021_Kidney::t1_Normal
Krishna2021_Kidney,Kidney,t1_Normal,Mast,Mast,Krishna2021_Kidney::t1_Normal
Krishna2021_Kidney,Kidney,t1_PBMC,Monocyte,Monocyte,Krishna2021_Kidney::t1_PBMC
Krishna2021_Kidney,Kidney,t1_PBMC,T_cell,T cell,Krishna2021_Kidney::t1_PBMC
Krishna2021_Kidney,Kidney,t1_PBMC,NK_cell,NK cell,Krishna2021_Kidney::t1_PBMC
Krishna2021_Kidney,Kidney,t1_PBMC,B_cell,B cell,Krishna2021_Kidney::t1_PBMC
Krishna2021_Kidney,Kidney,t1_PBMC,Dendritic,Dendritic,Krishna2021_Kidney::t1_PBMC
Krishna2021_Kidney,Kidney,t1_PBMC,Macrophage,Macrophage,Krishna2021_Kidney::t1_PBMC
Krishna2021_Kidney,Kidney,t1_PBMC,Myeloid,Myeloid,Krishna2021_Kidney::t1_PBMC
Krishna2021_Kidney,Kidney,t2_Center,Macrophage,Macrophage,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Center,T_cell,T cell,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Center,Epithelial,Epithelial,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Center,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Center,Dendritic,Dendritic,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Center,Mast,Mast,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Center,B_cell,B cell,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Center,Endothelial,Endothelial,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Center,NK_cell,NK cell,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Center,Monocyte,Monocyte,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Center,Malignant,Malignant,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Center,Myeloid,Myeloid,Krishna2021_Kidney::t2_Center
Krishna2021_Kidney,Kidney,t2_Far,T_cell,T cell,Krishna2021_Kidney::t2_Far
Krishna2021_Kidney,Kidney,t2_Far,Epithelial,Epithelial,Krishna2021_Kidney::t2_Far
Krishna2021_Kidney,Kidney,t2_Far,Macrophage,Macrophage,Krishna2021_Kidney::t2_Far
Krishna2021_Kidney,Kidney,t2_Far,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t2_Far
Krishna2021_Kidney,Kidney,t2_Far,Monocyte,Monocyte,Krishna2021_Kidney::t2_Far
Krishna2021_Kidney,Kidney,t2_Far,Mast,Mast,Krishna2021_Kidney::t2_Far
Krishna2021_Kidney,Kidney,t2_Far,Dendritic,Dendritic,Krishna2021_Kidney::t2_Far
Krishna2021_Kidney,Kidney,t2_Far,Malignant,Malignant,Krishna2021_Kidney::t2_Far
Krishna2021_Kidney,Kidney,t2_Far,Endothelial,Endothelial,Krishna2021_Kidney::t2_Far
Krishna2021_Kidney,Kidney,t2_Far,NK_cell,NK cell,Krishna2021_Kidney::t2_Far
Krishna2021_Kidney,Kidney,t2_Far,B_cell,B cell,Krishna2021_Kidney::t2_Far
Krishna2021_Kidney,Kidney,t2_Near,Macrophage,Macrophage,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_Near,Epithelial,Epithelial,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_Near,T_cell,T cell,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_Near,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_Near,Dendritic,Dendritic,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_Near,Monocyte,Monocyte,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_Near,Endothelial,Endothelial,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_Near,NK_cell,NK cell,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_Near,Malignant,Malignant,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_Near,B_cell,B cell,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_Near,Mast,Mast,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_Near,Myeloid,Myeloid,Krishna2021_Kidney::t2_Near
Krishna2021_Kidney,Kidney,t2_LymphNode,Macrophage,Macrophage,Krishna2021_Kidney::t2_LymphNode
Krishna2021_Kidney,Kidney,t2_LymphNode,Epithelial,Epithelial,Krishna2021_Kidney::t2_LymphNode
Krishna2021_Kidney,Kidney,t2_LymphNode,Dendritic,Dendritic,Krishna2021_Kidney::t2_LymphNode
Krishna2021_Kidney,Kidney,t2_LymphNode,Malignant,Malignant,Krishna2021_Kidney::t2_LymphNode
Krishna2021_Kidney,Kidney,t2_LymphNode,Endothelial,Endothelial,Krishna2021_Kidney::t2_LymphNode
Krishna2021_Kidney,Kidney,t2_LymphNode,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t2_LymphNode
Krishna2021_Kidney,Kidney,t2_LymphNode,Monocyte,Monocyte,Krishna2021_Kidney::t2_LymphNode
Krishna2021_Kidney,Kidney,t2_LymphNode,Mast,Mast,Krishna2021_Kidney::t2_LymphNode
Krishna2021_Kidney,Kidney,t2_LymphNode,T_cell,T cell,Krishna2021_Kidney::t2_LymphNode
Krishna2021_Kidney,Kidney,t2_LymphNode,B_cell,B cell,Krishna2021_Kidney::t2_LymphNode
Krishna2021_Kidney,Kidney,t2_Normal,Dendritic,Dendritic,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_Normal,Endothelial,Endothelial,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_Normal,NK_cell,NK cell,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_Normal,T_cell,T cell,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_Normal,Monocyte,Monocyte,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_Normal,Macrophage,Macrophage,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_Normal,Malignant,Malignant,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_Normal,Epithelial,Epithelial,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_Normal,Mast,Mast,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_Normal,B_cell,B cell,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_Normal,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_Normal,Myeloid,Myeloid,Krishna2021_Kidney::t2_Normal
Krishna2021_Kidney,Kidney,t2_PBMC,Monocyte,Monocyte,Krishna2021_Kidney::t2_PBMC
Krishna2021_Kidney,Kidney,t2_PBMC,T_cell,T cell,Krishna2021_Kidney::t2_PBMC
Krishna2021_Kidney,Kidney,t2_PBMC,NK_cell,NK cell,Krishna2021_Kidney::t2_PBMC
Krishna2021_Kidney,Kidney,t2_PBMC,Dendritic,Dendritic,Krishna2021_Kidney::t2_PBMC
Krishna2021_Kidney,Kidney,t2_PBMC,B_cell,B cell,Krishna2021_Kidney::t2_PBMC
Krishna2021_Kidney,Kidney,t2_PBMC,Myeloid,Myeloid,Krishna2021_Kidney::t2_PBMC
Krishna2021_Kidney,Kidney,t2_PBMC,Macrophage,Macrophage,Krishna2021_Kidney::t2_PBMC
Krishna2021_Kidney,Kidney,t3_Center,T_cell,T cell,Krishna2021_Kidney::t3_Center
Krishna2021_Kidney,Kidney,t3_Center,Epithelial,Epithelial,Krishna2021_Kidney::t3_Center
Krishna2021_Kidney,Kidney,t3_Center,Monocyte,Monocyte,Krishna2021_Kidney::t3_Center
Krishna2021_Kidney,Kidney,t3_Center,B_cell,B cell,Krishna2021_Kidney::t3_Center
Krishna2021_Kidney,Kidney,t3_Center,Dendritic,Dendritic,Krishna2021_Kidney::t3_Center
Krishna2021_Kidney,Kidney,t3_Center,Macrophage,Macrophage,Krishna2021_Kidney::t3_Center
Krishna2021_Kidney,Kidney,t3_Center,Endothelial,Endothelial,Krishna2021_Kidney::t3_Center
Krishna2021_Kidney,Kidney,t3_Center,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t3_Center
Krishna2021_Kidney,Kidney,t3_Center,NK_cell,NK cell,Krishna2021_Kidney::t3_Center
Krishna2021_Kidney,Kidney,t3_Center,Malignant,Malignant,Krishna2021_Kidney::t3_Center
Krishna2021_Kidney,Kidney,t3_Center,Mast,Mast,Krishna2021_Kidney::t3_Center
Krishna2021_Kidney,Kidney,t3_Far,T_cell,T cell,Krishna2021_Kidney::t3_Far
Krishna2021_Kidney,Kidney,t3_Far,Epithelial,Epithelial,Krishna2021_Kidney::t3_Far
Krishna2021_Kidney,Kidney,t3_Far,Macrophage,Macrophage,Krishna2021_Kidney::t3_Far
Krishna2021_Kidney,Kidney,t3_Far,Dendritic,Dendritic,Krishna2021_Kidney::t3_Far
Krishna2021_Kidney,Kidney,t3_Far,Monocyte,Monocyte,Krishna2021_Kidney::t3_Far
Krishna2021_Kidney,Kidney,t3_Far,Endothelial,Endothelial,Krishna2021_Kidney::t3_Far
Krishna2021_Kidney,Kidney,t3_Far,B_cell,B cell,Krishna2021_Kidney::t3_Far
Krishna2021_Kidney,Kidney,t3_Far,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t3_Far
Krishna2021_Kidney,Kidney,t3_Far,NK_cell,NK cell,Krishna2021_Kidney::t3_Far
Krishna2021_Kidney,Kidney,t3_Far,Malignant,Malignant,Krishna2021_Kidney::t3_Far
Krishna2021_Kidney,Kidney,t3_Far,Mast,Mast,Krishna2021_Kidney::t3_Far
Krishna2021_Kidney,Kidney,t3_Near,T_cell,T cell,Krishna2021_Kidney::t3_Near
Krishna2021_Kidney,Kidney,t3_Near,Macrophage,Macrophage,Krishna2021_Kidney::t3_Near
Krishna2021_Kidney,Kidney,t3_Near,Monocyte,Monocyte,Krishna2021_Kidney::t3_Near
Krishna2021_Kidney,Kidney,t3_Near,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t3_Near
Krishna2021_Kidney,Kidney,t3_Near,NK_cell,NK cell,Krishna2021_Kidney::t3_Near
Krishna2021_Kidney,Kidney,t3_Near,Dendritic,Dendritic,Krishna2021_Kidney::t3_Near
Krishna2021_Kidney,Kidney,t3_Near,Epithelial,Epithelial,Krishna2021_Kidney::t3_Near
Krishna2021_Kidney,Kidney,t3_Near,Malignant,Malignant,Krishna2021_Kidney::t3_Near
Krishna2021_Kidney,Kidney,t3_Near,B_cell,B cell,Krishna2021_Kidney::t3_Near
Krishna2021_Kidney,Kidney,t3_Near,Endothelial,Endothelial,Krishna2021_Kidney::t3_Near
Krishna2021_Kidney,Kidney,t3_Normal,Endothelial,Endothelial,Krishna2021_Kidney::t3_Normal
Krishna2021_Kidney,Kidney,t3_Normal,T_cell,T cell,Krishna2021_Kidney::t3_Normal
Krishna2021_Kidney,Kidney,t3_Normal,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t3_Normal
Krishna2021_Kidney,Kidney,t3_Normal,NK_cell,NK cell,Krishna2021_Kidney::t3_Normal
Krishna2021_Kidney,Kidney,t3_Normal,Macrophage,Macrophage,Krishna2021_Kidney::t3_Normal
Krishna2021_Kidney,Kidney,t3_Normal,Monocyte,Monocyte,Krishna2021_Kidney::t3_Normal
Krishna2021_Kidney,Kidney,t3_Normal,Epithelial,Epithelial,Krishna2021_Kidney::t3_Normal
Krishna2021_Kidney,Kidney,t3_Normal,B_cell,B cell,Krishna2021_Kidney::t3_Normal
Krishna2021_Kidney,Kidney,t3_Normal,Malignant,Malignant,Krishna2021_Kidney::t3_Normal
Krishna2021_Kidney,Kidney,t3_Normal,Dendritic,Dendritic,Krishna2021_Kidney::t3_Normal
Krishna2021_Kidney,Kidney,t3_Normal,Myeloid,Myeloid,Krishna2021_Kidney::t3_Normal
Krishna2021_Kidney,Kidney,t3_PBMC,T_cell,T cell,Krishna2021_Kidney::t3_PBMC
Krishna2021_Kidney,Kidney,t3_PBMC,B_cell,B cell,Krishna2021_Kidney::t3_PBMC
Krishna2021_Kidney,Kidney,t3_PBMC,Monocyte,Monocyte,Krishna2021_Kidney::t3_PBMC
Krishna2021_Kidney,Kidney,t3_PBMC,NK_cell,NK cell,Krishna2021_Kidney::t3_PBMC
Krishna2021_Kidney,Kidney,t3_PBMC,Dendritic,Dendritic,Krishna2021_Kidney::t3_PBMC
Krishna2021_Kidney,Kidney,t3_PBMC,Macrophage,Macrophage,Krishna2021_Kidney::t3_PBMC
Krishna2021_Kidney,Kidney,t4_Center,T_cell,T cell,Krishna2021_Kidney::t4_Center
Krishna2021_Kidney,Kidney,t4_Center,NK_cell,NK cell,Krishna2021_Kidney::t4_Center
Krishna2021_Kidney,Kidney,t4_Center,Monocyte,Monocyte,Krishna2021_Kidney::t4_Center
Krishna2021_Kidney,Kidney,t4_Center,Macrophage,Macrophage,Krishna2021_Kidney::t4_Center
Krishna2021_Kidney,Kidney,t4_Center,B_cell,B cell,Krishna2021_Kidney::t4_Center
Krishna2021_Kidney,Kidney,t4_Center,Dendritic,Dendritic,Krishna2021_Kidney::t4_Center
Krishna2021_Kidney,Kidney,t4_Center,Endothelial,Endothelial,Krishna2021_Kidney::t4_Center
Krishna2021_Kidney,Kidney,t4_Center,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t4_Center
Krishna2021_Kidney,Kidney,t4_Center,Malignant,Malignant,Krishna2021_Kidney::t4_Center
Krishna2021_Kidney,Kidney,t4_Center,Epithelial,Epithelial,Krishna2021_Kidney::t4_Center
Krishna2021_Kidney,Kidney,t4_Lateral,Monocyte,Monocyte,Krishna2021_Kidney::t4_Lateral
Krishna2021_Kidney,Kidney,t4_Lateral,T_cell,T cell,Krishna2021_Kidney::t4_Lateral
Krishna2021_Kidney,Kidney,t4_Lateral,Dendritic,Dendritic,Krishna2021_Kidney::t4_Lateral
Krishna2021_Kidney,Kidney,t4_Lateral,Macrophage,Macrophage,Krishna2021_Kidney::t4_Lateral
Krishna2021_Kidney,Kidney,t4_Lateral,NK_cell,NK cell,Krishna2021_Kidney::t4_Lateral
Krishna2021_Kidney,Kidney,t4_Lateral,Endothelial,Endothelial,Krishna2021_Kidney::t4_Lateral
Krishna2021_Kidney,Kidney,t4_Lateral,B_cell,B cell,Krishna2021_Kidney::t4_Lateral
Krishna2021_Kidney,Kidney,t4_Lateral,Malignant,Malignant,Krishna2021_Kidney::t4_Lateral
Krishna2021_Kidney,Kidney,t4_Lateral,Myofibroblast,Myofibroblast,Krishna2021_Kidney::t4_Lateral
Krishna2021_Kidney,Kidney,t4_Lateral,Myeloid,Myeloid,Krishna2021_Kidney::t4_Lateral
Krishna2021_Kidney,Kidney,t4_Lateral,Epithelial,Epithelial,Krishna2021_Kidney::t4_Lateral
